"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"서울특별시  (1100000000)","9,494,807","9,494,807","564,739","752,985","1,412,722","1,430,728","1,470,923","1,507,380","1,290,741","710,430","309,902","42,531","1,726","4,605,655","4,605,655","289,913","385,355","677,376","714,657","728,070","742,728","609,843","322,737","123,551","11,000","425","4,889,152","4,889,152","274,826","367,630","735,346","716,071","742,853","764,652","680,898","387,693","186,351","31,531","1,301"
"서울특별시 종로구 (1111000000)","143,624","143,624","6,703","10,176","22,674","19,363","20,540","24,745","20,405","11,637","6,390","951","40","69,513","69,513","3,385","5,035","10,818","9,634","9,937","12,381","10,234","5,200","2,577","298","14","74,111","74,111","3,318","5,141","11,856","9,729","10,603","12,364","10,171","6,437","3,813","653","26"
"서울특별시 중구 (1114000000)","122,088","122,088","6,074","6,502","18,000","19,910","17,206","19,910","17,999","10,377","5,234","840","36","59,364","59,364","3,113","3,237","8,327","9,923","8,790","10,111","8,979","4,695","1,950","225","14","62,724","62,724","2,961","3,265","9,673","9,987","8,416","9,799","9,020","5,682","3,284","615","22"
"서울특별시 용산구 (1117000000)","222,263","222,263","12,344","14,526","32,424","37,880","33,314","36,051","29,361","15,986","8,831","1,469","77","106,743","106,743","6,306","7,352","15,159","18,760","16,401","17,739","14,240","6,989","3,341","437","19","115,520","115,520","6,038","7,174","17,265","19,120","16,913","18,312","15,121","8,997","5,490","1,032","58"
"서울특별시 성동구 (1120000000)","283,821","283,821","18,719","18,885","42,648","46,118","42,858","45,680","38,037","20,231","9,413","1,179","53","138,162","138,162","9,576","9,382","20,951","22,607","21,495","22,561","18,629","9,042","3,590","312","17","145,659","145,659","9,143","9,503","21,697","23,511","21,363","23,119","19,408","11,189","5,823","867","36"
"서울특별시 광진구 (1121500000)","339,893","339,893","17,145","24,632","61,385","54,670","50,134","53,844","44,371","22,429","9,927","1,301","55","163,920","163,920","8,812","12,448","28,722","27,189","24,670","26,339","21,154","10,249","3,973","348","16","175,973","175,973","8,333","12,184","32,663","27,481","25,464","27,505","23,217","12,180","5,954","953","39"
"서울특별시 동대문구 (1123000000)","337,330","337,330","19,038","22,910","56,465","48,590","48,690","52,053","47,582","27,652","12,759","1,523","68","166,348","166,348","9,739","11,552","27,376","25,044","25,161","26,361","23,150","12,459","5,081","406","19","170,982","170,982","9,299","11,358","29,089","23,546","23,529","25,692","24,432","15,193","7,678","1,117","49"
"서울특별시 중랑구 (1126000000)","388,509","388,509","20,986","25,179","53,821","57,688","55,597","66,957","61,238","31,904","13,445","1,623","71","191,433","191,433","10,770","12,790","26,252","29,631","28,857","33,137","29,684","14,551","5,361","380","20","197,076","197,076","10,216","12,389","27,569","28,057","26,740","33,820","31,554","17,353","8,084","1,243","51"
"서울특별시 성북구 (1129000000)","433,559","433,559","26,871","36,526","65,901","58,398","67,306","70,305","57,231","32,925","15,953","2,069","74","208,790","208,790","13,697","18,571","31,569","29,158","33,016","34,715","26,879","14,335","6,313","523","14","224,769","224,769","13,174","17,955","34,332","29,240","34,290","35,590","30,352","18,590","9,640","1,546","60"
"서울특별시 강북구 (1130500000)","296,653","296,653","13,467","20,415","40,568","36,435","43,068","51,383","47,101","29,447","13,220","1,501","48","144,154","144,154","6,910","10,356","19,730","19,111","22,156","25,446","22,030","12,696","5,299","407","13","152,499","152,499","6,557","10,059","20,838","17,324","20,912","25,937","25,071","16,751","7,921","1,094","35"
